taurine	inhibits_cell_growth	glioma
BMI1	binds	ZNF687
cAMP	binds	ELP
pyrazoloacridine	treatment	tumor
pegylated_interferon	increases_expression	VLA-5
miR-1271	increases_expression	Bcl-2
NKX2-5	increases_expression	ANF
gamma-tocotrienol	metabolism	Akt
CK14	activates	fascin
steroid	inhibits_cell_growth	thymic_lymphomas
Ngb	enhances	CA1
terbutaline	affects_expression	erythropoietin
bacteriocin	enzyme_activity	lp_2991
TAG-72	role_in_disease_pathogenesis	gastrointestinal_symptoms
CTR	mutations_affecting_disease	nephrolithiasis
cinchonine	treatment	liver_cancer
Osx	regulates	Runx3
brimonidine	suppresses	GA
dieckol	decreases_expression	VEGF
fluorescein	affects_expression	MCT1
ACE	role_in_disease_pathogenesis	vasculitis
FIP200	promotes_progression	Salmonella
osteocalcin	diagnostic_biomarker	pseudohypoparathyroidism
thymoquinone	binds	STAT3
tyrosine	binds	Dock180
PP5	binds	PP6R1
ficolin_A	regulates	MSP1
Env	affects_expression	CRH
fatty_acids	metabolism	Reg3a
Bcl-3	increases_expression	IL-4
ABT-627	alleviates	brain_edema
DAT	production	VMAT2
A77_1726	inhibits_cell_growth	CLL
glucose	metabolism	CGRP
PMCA1	affects_expression	TBXA2R
rIL-7	overexpression	TBI
SNHG15	promotes_progression	colorectal_cancer
amino_acid	binds	CMP
Runx1	production	CD4
amprolium	alleviates	thiamine_deficiency
Raldh3	binds	Isl1
AT1R	activates	AT1
Smad3	same_complex	NDRG2
Cyp17a1	polymorphisms_alter_risk	tumor
SRSF1	activates	SRPK1
DPP9	affects_expression	attractin
HMGB1	drug_target	AKI
alpha-globin	regulates	Bach1
EOGT	same_complex	adropin
FOXO1	promotes_progression	gastric_cancer
eicosanoids	transport,	VEGF
IL-1_alpha	drug_target	fibrosarcoma
LGALS3	promotes_progression	IDC
ORL1	promotes_progression	alcoholism
HIC1	enhances	BRG1
NEDD9	promotes_progression	PDAC
CCR9	drug_target	hypersensitivity
CRLR	diagnostic_biomarker	glioma
nocodazole	increases_expression	CaMKII
tocopherol	affects_expression	catalase
WT1	promotes_progression	vascular_disease
GPR40	overexpression	fibrosarcoma
2,3-butanedione_monoxime	inhibits	NKCC1
maitotoxin	activates	NGF
Gpx4	activates	DJ-1
citrulline	side_effect	pervasive_developmental_disorders
BTG1	improper_regulation	glioma
PTEN	enhances	GHET1
SphK1	binds	E2F7
melanopsin	activates	PLCb4
dobutamine	alleviates	left_ventricular_dysfunction
progesterone	activates	CD133
miR-1827	promotes_progression	colorectal_cancer
amino_acids	side_effect	HCH
Taurine_chloramine	increases_expression	p47
amino_acids	activates	GLI3
I-BET151	treatment	tumor
NPHP4	activates	NPHP1
PAX5	increases_expression	EN2
ROR2	activates	PTK7
LRP4	enhances	Mesd
VWF	production	CD42b
gammaH2AX	enzyme_activity	SMC1A
MGP	activates	BMP-2
B-Myb	overexpression	glioma
utrophin	regulates	alpha-sarcoglycan
5-FU	inhibits_cell_growth	insulinoma
P2X7	enhances	CACNA1C
stanozolol	affects_expression	LPL
polyvinylpyrrolidone	side_effect	endothelial_dysfunction
Kindlin-2	overexpression	ESCC
CIN	therapeutic_effect	Lowe_syndrome
Mbd5	binds	GCN5
c-Jun	improper_regulation	ES
JMJD3	enhances	HAI-2
Bcl-xL	signals	Mcl-1
siomycin_A	inhibits	FOXM1
malondialdehyde	activates	ALT
PTCSC3	promotes_progression	breast_cancer
sevoflurane	suppresses	glioma
FAK	production	EL4
CTHRC1	improper_regulation	melanoma
oxygen	affects_expression	miR-661
cisplatin	decreases_expression	Trp53
cisplatin	binds	Wip1
CD34	production	IL-11
PHF19	increases_expression	miR-124a
SERCA2a	regulates	HAX-1
PI-103	inhibits_cell_growth	melanoma
BTK	signals	BLNK
osteocalcin	mutations_affecting_disease	BMD
p63	signals	b-TrCP
tyrosine	binds	FL
CKS2	overexpression	PTC
GPIHBP1	binds	LDLR
tyrosine	enzyme_activity	GTK
minodronate	activates	Bax
RIP3	promotes_progression	toxicity
scutellarin	role_in_disease_pathogenesis	inflammation
caspase-12	signals	caspase-12
ASAH1	production	PTEN
MMAB	therapeutic_effect	head_and_neck_cancer
DLL4	overexpression	glioma
GAPDH	diagnostic_biomarker	schistosomiasis
PER1	diagnostic_biomarker	hypoalbuminemia
TAM	alleviates	brain_tumors
bFGF	role_in_disease_pathogenesis	GO
phenols	role_in_disease_pathogenesis	uremic
MCRS1	polymorphisms_alter_risk	tumor
phosphate	transport,	VDR
glucosylceramide	inhibits_cell_growth	Gaucher_disease
LMO2	polymorphisms_alter_risk	leukemia
TCRbeta	affects_expression	CXCR4
temozolomide	decreases_expression	miR-93
EGFL7	enhances	EGFR
ANXA2	causal_mutation	pulmonary_fibrosis
I-BET151	decreases_expression	MMP-1
arginine	binds	PRMT5
LIG	role_in_disease_pathogenesis	growth_arrest
tyrphostin	suppresses	hyperplasia
MERTK	promotes_progression	glioblastoma
RECQ1	same_complex	WRN
pN3	affects_expression	APP
FOG	promotes_progression	anxiety
DINE	improper_regulation	middle_cerebral_artery_occlusion
inosine	role_in_disease_pathogenesis	dysbiosis
HOTAIR	improper_regulation	colorectal_cancer
sunitinib	treatment	carcinoid_syndrome
NUSAP1	promotes_progression	NSCLC
GH	role_in_disease_pathogenesis	amyloidosis
Serp-1	therapeutic_effect	coronary_heart_disease
calreticulin	role_in_disease_pathogenesis	ESCC
E2F1	affects_expression	HIPK3
polyethyleneimine	metabolism	ELP
CGRP	enhances	TF
berberine	affects_expression	LOX-1
PMP22	regulates	Cx32
BI_6727	inhibits	miR-34a
GAPDH	role_in_disease_pathogenesis	IBD
NF-YA	activates	FOXL1
DYRK1A	binds	mDYRK-3
PPG	signals	TGF-beta2
MMS	increases_expression	Wip1
toluene_diisocyanate	enzyme_activity	MMP-9
NUBP2	activates	NBP
