N-methyl-D-aspartate	decreases_expression	GnRH	0.9959523247299364
AAT	same_complex	mPR3	0.9989521175876716
bifonazole	treatment	dermatophytosis	0.9978019050295824
ICAM-1	regulates	CINC-1	0.8341675796258373
bicalutamide	treatment	metastasis	0.9997578352225532
CD36	same_complex	JNK	0.9983958003143372
WDR5	enhances	RbBP5	0.9994723389903736
CaMKK	production	mTOR	0.8724512457759566
ethylene_glycol	role_in_disease_pathogenesis	ketosis	0.8033944057008684
DC-SIGN	binds	CD4	0.997862628484767
C3b	polymorphisms_alter_risk	immunodeficiency	0.9892562365747206
SENP6	production	SENP3	0.9976438489329952
aldehyde	transport,	ALDH2	0.9999856888322802
PMMA	side_effect	cardiovascular_disease	0.9996708399311732
estradiol	increases_expression	MT1-MMP	0.9999135366950266
XLPTP1	enhances	fibroblast_growth_factor_receptor	0.9978273592371262
miR-135b	increases_expression	CaSR	0.7447983370549738
WIP	role_in_disease_pathogenesis	COPD	0.9999948080659998
GA	binds	RIP1	0.93531590710144
PMA	metabolism	TSG	0.9712923938528764
CD52	activates	CD20	0.9953193850806674
SUV39H1	mutations_affecting_disease	tumor	0.8580213728323085
FAAH	therapeutic_effect	hypothalamus	0.9773270602184104
SRT2183	activates	SIRT1	0.999952296107601
PRDM8	binds	laforin	0.997618223620256
FK866	side_effect	tumor	0.9942965803322048
d-amphetamine	affects_expression	TRH	0.7366691472690714
caspase-9	same_complex	Kindlin-2	0.99974567565959
p19	polymorphisms_alter_risk	HNSCC	0.825150058692454
HMGA1	improper_regulation	endometrial_cancer	0.704194752276309
eotaxin	same_complex	CCR3	0.8357340301948847
MED12	causal_mutation	breast_cancer	0.999996696042
BAFF	role_in_disease_pathogenesis	idiopathic_thrombotic_thrombocytopenic_purpura	0.9999655444379992
tyrosine	activates	Itk	0.9999868814295902
Lgr5	overexpression	colon_cancer	0.999998112024
BATF3	activates	OX40	0.7207962363304111
RXR	regulates	PCFT	0.8341675796258373
PTB	therapeutic_effect	preterm_birth	0.999539097858988
urea	treatment	encephalopathy	0.9999991635068136
MC1568	inhibits	HDAC4	0.999419205110041
melatonin	decreases_expression	HuR	0.999895647735377
Otx2	improper_regulation	sensorineural_hearing_loss	0.554347041140413
cholinesterase	production	cholinesterase	0.6411166684668679
miR-221	regulates	caspase-3	0.9961002682667148
As2O3	inhibits_cell_growth	leukemia	0.6944932398803145
AZT	decreases_expression	ADAM8	0.947453566223736
NTE	drug_target	cholinergic_syndrome	0.978040479149429
FTH1	binds	HIF-1a	0.9708064313473072
LTBP2	promotes_progression	gastric_cancer	0.999420863361985
XIAP	mutations_affecting_disease	glioblastoma	0.9999919761019996
RhoB	binds	GEF	0.9996225088338444
Per1	increases_expression	DBP	0.7447983370549738
TBP	polymorphisms_alter_risk	tumor	0.9998371620699956
GaAs	side_effect	pulmonary_toxicity	0.9962010661942152
artesunate	decreases_expression	SCN4A	0.9994901646499846
lorazepam	treatment	ALL	0.960272847347522
GSK3b	role_in_disease_pathogenesis	glioblastoma	0.8338687318606806
succinate	treatment	coronary_heart_disease	0.9999845248760526
COMP	enhances	PCNA	0.9995831064712456
furazolidone	side_effect	toxicity	0.7575911756660786
BSP	diagnostic_biomarker	metastasis	0.9997160956089928
GW2974	activates	AMPK	0.9809858247883736
nucleotide	binds	RIP2	0.9898331079324416
Vanin-1	signals	GSTA3	0.7164738247074306
superoxide	decreases_expression	synaptophysin	0.947453566223736
GRK1	therapeutic_effect	cone_dystrophy	0.9902051805117452
eIF5A	promotes_progression	HCC	0.9831188985925612
NLRP1	therapeutic_effect	SLE	0.8809897808579057
cisplatin	transport,	HMGN5	0.9182176394682924
silymarin	suppresses	NASH	0.7895355957128051
Vanin-1	diagnostic_biomarker	IBD	1.0
hBD-2	polymorphisms_alter_risk	AD	0.825150058692454
ribavirin	progression_biomarker	hematologic_malignancies	0.9839449771511886
16-acetylgitoxin	alleviates	aortic_coarctation	0.9998011237449466
ATZ	role_in_disease_pathogenesis	toxicity	0.9050095067450628
cidofovir	affects_expression	p53	0.5401768144771772
CARMA3	overexpression	breast_cancer	0.999999528006
SIGIRR	regulates	HOXD10	0.8341675796258373
IFN-alpha	role_in_disease_pathogenesis	schistosomiasis	0.998883262195971
sulfite	inhibits	ovoperoxidase	0.9988604732703164
ACTH	decreases_expression	IL-2	0.9959523247299364
PITX2	increases_expression	DLX2	0.9963102305065766
methemoglobin	binds	methemoglobin	0.8313785536522408
CK2	binds	CABP4	0.9863050613574692
propionic_acid	role_in_disease_pathogenesis	CLL	0.9999962357806614
DOX	alleviates	HCC	0.9976279144468227
NK3	binds	Msx2	0.9999826409171768
GLS1	increases_expression	TXNIP	0.7447983370549738
E-cadherin	overexpression	prostate_cancer	0.9666647157581332
CASC2	signals	eIF4AIII	0.9999548112764602
AURKA	activates	FLT3	0.9988085607281336
OK-432	treatment	renal_cancer	0.6795204300913367
RARbeta	mutations_affecting_disease	tumor	0.8580213728323085
IL-10	therapeutic_effect	endometritis	0.7725878628630873
polyurethane	side_effect	inflammation	0.62189483273064
ribonucleic_acid	transport,	GPR40	0.9747163407298218
NAG	increases_expression	LAP	0.9997837003172028
